332,332,332,332,332,332,332,332,314,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,314,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,317,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
332,332,332,332,332,332,332,332,332,332,332,332,332,314,332,332,332,314,220,210,211,211,211,211,210,212,212,210,211,210,210,210,212,212,211,211,211,212,212,210,210,210,211,210,211,210,210,210,210,210,211,212,211,210,211,212,212,211,211,212,210,227,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
332,332,332,332,332,332,332,314,332,332,332,332,332,332,332,332,332,332,216,19,27,63,27,27,28,27,27,27,27,27,27,27,27,27,27,27,27,63,27,63,63,27,28,27,27,27,27,27,27,27,27,27,27,27,27,63,27,63,63,27,26,224,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
317,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,215,57,285,294,293,294,294,293,294,293,294,294,294,293,294,293,294,294,294,294,294,294,294,294,294,293,294,293,294,294,294,293,294,293,294,294,294,294,294,294,294,277,58,225,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,215,22,291,336,335,336,336,336,336,336,336,336,336,336,336,336,336,336,336,335,334,336,334,336,336,336,336,336,336,336,336,336,336,336,336,336,336,335,334,336,334,279,58,225,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
332,332,332,332,332,332,332,332,314,332,332,314,332,332,332,332,332,332,216,21,291,334,336,334,335,336,336,336,336,335,335,336,336,336,336,335,335,335,334,336,334,334,335,336,336,336,336,335,335,336,336,339,337,335,335,335,334,336,334,279,21,225,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
332,332,332,332,332,332,332,332,332,332,332,332,314,332,332,332,332,332,216,21,291,336,336,336,341,341,336,336,335,335,336,335,336,336,338,335,336,336,337,334,335,336,335,335,336,336,335,335,336,335,336,337,335,335,336,336,335,334,335,279,22,226,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,317,215,22,289,335,335,335,336,336,336,335,335,336,336,336,336,335,335,336,336,335,335,335,336,335,341,336,336,335,335,339,336,336,336,335,337,336,336,335,335,335,336,281,21,224,332,332,332,332,332,332,332,332,332,332,332,314,332,332,332,332,332,332
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,215,57,291,336,335,336,334,336,336,335,336,334,335,336,336,335,336,334,335,336,336,334,335,336,334,336,336,335,336,334,335,336,336,335,336,340,335,336,336,334,335,279,57,226,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
